 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   329        0.540000 5388.0  4.3898999E+09          0.8400   0.01533000   0.07599000  0.8675221  7.1120E-001   0.000848
   330        0.540000 5392.0  4.5408674E+09          0.8500   0.01528000   0.07569000  0.8676132  7.1090E-001   0.000876
   331        0.550000 5397.0  4.6917711E+09          0.8500   0.01521000   0.07539000  0.8677497  7.1080E-001   0.000872
   332        0.550000 5401.0  4.8423201E+09          0.8500   0.01515000   0.07508000  0.8678914  7.1060E-001   0.000868
   333        0.560000 5405.0  4.9926572E+09          0.8500   0.01508000   0.07478000  0.8679996  7.1040E-001   0.000865
   334        0.560000 5410.0  5.1429944E+09          0.8500   0.01502000   0.07447000  0.8681319  7.1020E-001   0.000862
   335        0.560000 5414.0  5.2929422E+09          0.8600   0.01496000   0.07416000  0.8682702  7.1000E-001   0.000888
   336        0.570000 5418.0  5.4426955E+09          0.8600   0.01489000   0.07386000  0.8683781  7.0980E-001   0.000885
   337        0.570000 5423.0  5.5922541E+09          0.8600   0.01483000   0.07354000  0.8684938  7.0960E-001   0.000882
   338        0.580000 5427.0  5.7416180E+09          0.8600   0.01477000   0.07323000  0.8686361  7.0940E-001   0.000878
   339        0.580000 5432.0  5.8906225E+09          0.8600   0.01470000   0.07291000  0.8687316  7.0910E-001   0.000875
   340        0.590000 5436.0  6.0395158E+09          0.8700   0.01465000   0.07259000  0.8688425  7.0880E-001   0.000903
   341        0.590000 5440.0  6.1880256E+09          0.8700   0.01458000   0.07227000  0.8689718  7.0870E-001   0.000899
   342        0.600000 5445.0  6.3363436E+09          0.8700   0.01452000   0.07196000  0.8690997  7.0840E-001   0.000895
   343        0.600000 5449.0  6.4844699E+09          0.8700   0.01445000   0.07163000  0.8692158  7.0820E-001   0.000891
   344        0.610000 5453.0  6.6322127E+09          0.8800   0.01439000   0.07131000  0.8693266  7.0800E-001   0.000919
   345        0.610000 5457.0  6.7795719E+09          0.8800   0.01433000   0.07099000  0.8694559  7.0770E-001   0.000915
   346        0.620000 5462.0  6.9267393E+09          0.8800   0.01427000   0.07065000  0.8695917  7.0760E-001   0.000911
   347        0.620000 5466.0  7.0737150E+09          0.8800   0.01420000   0.07033000  0.8697145  7.0740E-001   0.000907
   348        0.630000 5470.0  7.2203417E+09          0.8900   0.01414000   0.07000000  0.8698304  7.0710E-001   0.000935
   349        0.640000 5474.0  7.3666992E+09          0.8900   0.01408000   0.06966000  0.8699351  7.0680E-001   0.000931
   350        0.640000 5479.0  7.5126788E+09          0.8900   0.01403000   0.06932000  0.8700354  7.0650E-001   0.000928
   352        0.650000 5487.0  7.8040708E+09          0.9000   0.01391000   0.06865000  0.8702594  7.0600E-001   0.000952
   353        0.660000 5491.0  7.9496724E+09          0.9000   0.01385000   0.06831000  0.8703766  7.0570E-001   0.000948
   354        0.660000 5495.0  8.0950850E+09          0.9000   0.01379000   0.06796000  0.8705355  7.0560E-001   0.000943
